PID,ArrivalTime,BurstTime,Priority
1,77,13,7
2,55,13,7
3,14,11,6
4,97,11,5
5,7,13,7
6,14,5,8
7,0,1,2
8,46,19,9
9,100,6,1
10,50,11,9
11,39,5,5
12,64,15,3
13,94,13,6
14,24,6,7
15,25,4,3
16,18,10,3
17,70,2,2
18,27,7,2
19,86,14,9
20,7,19,7
21,89,6,10
22,90,15,6
23,15,8,7
24,94,3,3
25,79,9,5
26,97,2,5
27,11,11,10
28,94,10,9
29,93,15,9
30,46,13,6
31,76,4,7
32,6,1,1
33,28,19,2
34,28,20,6
35,80,4,8
36,40,14,9
37,20,19,7
38,83,7,2
39,14,9,3
40,19,2,10
41,43,12,2
42,18,7,2
43,7,14,1
44,56,4,2
45,39,1,8
46,92,1,5
47,32,4,3
48,96,17,1
49,48,5,8
50,27,20,4
51,32,2,8
52,76,12,7
53,73,10,4
54,39,15,8
55,37,16,10
56,89,11,4
57,73,18,6
58,30,18,10
59,46,1,7
60,57,20,1
61,49,17,8
62,44,15,2
63,95,11,9
64,9,14,4
65,39,13,7
66,40,5,6
67,10,16,5
68,2,20,3
69,54,9,9
70,29,19,8
71,60,11,4
72,1,5,10
73,89,20,4
74,29,1,9
75,23,9,8
76,80,5,1
77,44,11,4
78,35,15,3
79,17,12,6
80,85,6,7
81,54,11,10
82,79,11,2
83,53,8,3
84,43,13,3
85,95,11,10
86,97,14,1
87,58,5,8
88,86,6,8
89,42,2,2
90,27,3,10
91,33,9,5
92,97,16,5
93,100,4,4
94,74,14,8
95,70,9,1
96,97,19,9
97,82,1,6
98,43,3,1
99,62,7,9
100,72,16,10
101,4,6,1
102,59,8,8
103,62,7,9
104,53,11,2
105,89,4,1
106,92,5,2
107,33,7,7
108,1,1,3
109,31,10,5
110,63,5,3
111,31,8,8
112,13,5,10
113,41,5,8
114,72,18,5
115,67,13,4
116,0,12,6
117,65,1,10
118,55,4,5
119,93,1,4
120,26,8,2
121,5,10,3
122,7,17,5
123,68,20,3
124,19,12,3
125,99,8,8
126,69,4,8
127,26,17,4
128,63,15,2
129,73,7,7
130,96,14,1
131,33,7,4
132,15,5,6
133,66,5,3
134,68,10,9
135,39,17,6
136,83,8,5
137,33,14,10
138,81,5,7
139,40,18,9
140,64,18,9
141,12,5,8
142,3,15,7
143,52,4,9
144,73,7,6
145,2,10,10
146,31,2,2
147,21,20,6
148,39,12,8
149,5,9,3
150,41,13,8
151,92,8,10
152,24,14,1
153,92,13,2
154,3,9,9
155,63,11,9
156,18,19,10
157,88,10,7
158,53,2,6
159,42,19,3
160,13,19,1
161,30,16,3
162,81,19,7
163,38,1,2
164,16,18,4
165,5,13,8
166,57,15,7
167,97,6,10
168,93,2,7
169,67,1,10
170,52,11,5
171,71,18,5
172,68,2,4
173,1,13,1
174,69,9,9
175,65,3,5
176,83,13,5
177,35,2,6
178,37,5,5
179,54,7,8
180,61,15,9
181,91,4,4
182,4,18,5
183,21,13,1
184,52,20,5
185,59,3,10
186,73,1,5
187,19,7,4
188,90,7,4
189,60,11,1
190,89,4,1
191,10,3,4
192,56,4,7
193,22,9,4
194,37,18,2
195,85,9,10
196,29,9,6
197,52,2,6
198,57,15,5
199,53,1,5
200,61,6,5
201,25,12,4
202,82,8,1
203,42,2,7
204,60,17,7
205,78,9,2
206,16,3,1
207,27,17,7
208,26,20,5
209,25,3,3
210,53,4,3
211,69,4,5
212,17,5,8
213,81,19,1
214,28,2,3
215,93,10,6
216,98,4,2
217,84,15,7
218,1,7,9
219,22,16,3
220,88,2,5
221,51,2,4
222,95,18,9
223,13,9,10
224,23,7,6
225,56,12,10
226,96,8,6
227,88,13,4
228,85,20,6
229,37,15,10
230,45,17,1
231,64,10,8
232,49,5,6
233,88,1,3
234,44,17,5
235,53,8,6
236,19,1,1
237,43,9,5
238,22,6,9
239,82,19,8
240,2,15,7
241,63,12,5
242,84,10,5
243,57,18,10
244,10,20,10
245,21,12,6
246,76,3,3
247,0,9,2
248,95,9,5
249,93,14,1
250,23,1,8
251,65,6,4
252,98,5,4
253,97,16,1
254,19,5,10
255,57,10,6
256,85,13,2
257,54,10,8
258,55,16,1
259,92,16,2
260,59,15,8
261,80,7,2
262,1,15,1
263,14,20,7
264,5,15,5
265,24,3,1
266,97,5,6
267,56,4,7
268,14,15,5
269,71,13,6
270,5,5,9
271,64,13,3
272,70,7,2
273,93,5,3
274,96,18,1
275,100,11,2
276,74,18,8
277,8,13,5
278,36,12,1
279,73,19,7
280,52,3,6
281,17,17,8
282,95,11,4
283,70,18,5
284,19,12,3
285,31,15,7
286,74,5,4
287,35,9,10
288,59,9,8
289,0,9,9
290,35,10,8
291,97,3,5
292,54,7,10
293,86,1,7
294,79,20,1
295,43,13,9
296,71,2,7
297,54,2,1
298,27,13,7
299,42,10,5
300,13,4,5
301,18,1,5
302,39,11,8
303,74,2,3
304,79,9,5
305,57,6,8
306,26,15,6
307,79,19,9
308,1,5,7
309,21,20,5
310,94,20,9
311,82,20,8
312,25,14,4
313,56,17,7
314,77,15,5
315,54,18,9
316,86,1,2
317,47,14,8
318,15,15,3
319,11,14,10
320,4,9,5
321,51,20,4
322,90,3,8
323,75,1,2
324,99,3,3
325,2,20,10
326,9,3,10
327,93,14,1
328,51,9,8
329,95,2,9
330,91,10,6
331,75,2,4
332,26,1,5
333,14,18,9
334,55,18,1
335,75,8,10
336,12,5,9
337,71,10,10
338,49,18,8
339,44,15,7
340,41,7,5
341,36,6,8
342,31,17,2
343,24,2,9
344,46,12,1
345,41,2,1
346,27,20,10
347,41,17,2
348,86,20,8
349,89,17,9
350,3,14,3
351,92,3,6
352,30,14,4
353,15,1,1
354,49,1,2
355,49,10,10
356,6,13,1
357,71,18,6
358,39,3,7
359,40,9,4
360,45,10,5
361,1,5,8
362,44,9,1
363,21,8,1
364,88,10,2
365,8,4,1
366,26,19,5
367,3,9,9
368,65,6,10
369,82,10,8
370,14,11,7
371,67,18,3
372,20,4,3
373,20,16,4
374,78,20,7
375,27,14,1
376,2,19,6
377,64,15,10
378,56,7,7
379,63,20,1
380,39,16,10
381,57,15,7
382,10,16,8
383,63,6,6
384,6,10,10
385,28,19,2
386,34,4,7
387,78,2,6
388,77,3,9
389,45,7,7
390,44,15,1
391,27,2,8
392,63,13,4
393,25,12,10
394,8,5,2
395,16,17,9
396,33,17,6
397,32,9,1
398,94,5,2
399,17,3,6
400,5,11,3
401,62,1,3
402,59,9,2
403,31,15,3
404,64,8,5
405,46,3,3
406,59,18,9
407,84,16,6
408,97,5,9
409,72,14,3
410,65,16,5
411,35,19,9
412,26,12,5
413,69,2,6
414,87,6,1
415,84,1,2
416,93,15,2
417,32,17,7
418,78,16,4
419,89,1,7
420,95,8,8
421,37,13,5
422,73,6,9
423,37,6,6
424,27,17,4
425,54,15,9
426,67,4,9
427,91,5,7
428,83,11,2
429,99,2,10
430,86,3,6
431,62,3,9
432,1,6,5
433,93,14,8
434,6,16,6
435,86,9,5
436,45,1,2
437,45,15,1
438,63,11,4
439,88,18,4
440,86,9,6
441,72,9,7
442,71,1,3
443,73,17,1
444,78,20,10
445,23,14,6
446,24,20,8
447,46,6,8
448,55,6,2
449,36,16,1
450,19,17,4
451,27,13,1
452,68,16,5
453,29,7,10
454,12,18,5
455,62,14,3
456,64,19,3
457,24,6,5
458,21,3,6
459,76,1,8
460,68,11,1
461,58,11,1
462,30,7,2
463,90,19,7
464,72,19,3
465,84,16,4
466,100,13,9
467,17,14,5
468,7,4,10
469,14,4,1
470,76,17,10
471,67,4,10
472,67,10,5
473,46,5,2
474,69,17,4
475,84,14,8
476,51,10,5
477,90,15,9
478,95,18,1
479,74,1,3
480,60,18,6
481,35,10,1
482,41,19,8
483,89,8,7
484,43,17,7
485,2,6,1
486,43,9,9
487,89,14,9
488,53,16,7
489,26,2,4
490,51,4,3
491,53,16,9
492,36,15,5
493,80,14,10
494,83,4,7
495,37,6,9
496,82,7,1
497,45,10,9
498,30,18,7
499,18,16,10
500,31,19,4
501,39,18,4
502,44,4,6
503,19,14,6
504,36,5,3
505,22,4,7
506,89,11,8
507,98,12,7
508,71,13,4
509,84,11,9
510,86,16,5
511,96,14,8
512,61,1,7
513,30,16,2
514,15,13,5
515,40,17,10
516,51,10,6
517,88,17,4
518,86,10,7
519,38,18,9
520,77,4,6
521,86,1,10
522,66,8,7
523,67,5,8
524,2,10,1
525,11,19,1
526,5,18,8
527,37,19,3
528,92,12,1
529,4,14,8
530,95,19,3
531,11,15,3
532,76,16,10
533,15,7,5
534,68,14,4
535,82,18,9
536,33,20,8
537,43,7,8
538,97,17,1
539,76,13,9
540,79,11,7
541,10,5,8
542,18,8,5
543,91,13,2
544,25,7,5
545,45,8,6
546,16,12,1
547,17,7,2
548,46,3,6
549,8,17,5
550,15,13,6
551,56,1,8
552,47,13,4
553,91,20,3
554,30,11,1
555,31,15,5
556,21,13,7
557,22,2,3
558,8,6,9
559,15,8,9
560,60,8,6
561,42,14,4
562,60,1,7
563,6,5,6
564,78,17,5
565,72,14,5
566,37,15,2
567,20,8,7
568,29,2,10
569,82,2,1
570,67,11,6
571,88,20,2
572,62,13,6
573,48,8,4
574,58,5,8
575,69,7,9
576,4,7,5
577,77,15,10
578,86,18,3
579,32,11,6
580,63,17,9
581,49,18,4
582,95,14,6
583,7,9,8
584,47,11,6
585,86,19,7
586,62,20,1
587,81,11,5
588,32,14,8
589,99,12,10
590,91,3,3
591,33,2,9
592,56,20,2
593,26,7,6
594,77,3,9
595,54,18,8
596,80,5,6
597,60,17,3
598,66,6,10
599,2,10,1
600,49,11,3
601,66,16,2
602,63,6,6
603,13,20,10
604,1,20,6
605,31,6,1
606,3,10,5
607,36,5,5
608,88,18,4
609,25,13,8
610,29,16,5
611,0,4,3
612,32,9,4
613,9,7,7
614,76,17,6
615,74,18,2
616,58,2,9
617,98,11,5
618,9,19,7
619,100,6,5
620,80,2,9
621,27,20,6
622,12,19,1
623,35,7,8
624,38,19,3
625,30,4,4
626,66,5,1
627,35,10,3
628,65,17,8
629,53,19,4
630,89,1,9
631,99,7,9
632,38,3,6
633,92,17,10
634,77,10,5
635,25,11,7
636,88,9,6
637,85,13,9
638,69,5,4
639,59,7,1
640,20,13,4
641,68,5,2
642,94,13,7
643,63,4,2
644,37,19,4
645,43,20,7
646,57,1,2
647,6,6,7
648,71,13,6
649,90,15,1
650,25,5,8
651,79,14,8
652,94,1,8
653,89,13,6
654,26,6,3
655,34,6,4
656,22,13,7
657,7,19,7
658,39,19,8
659,22,10,7
660,1,8,7
661,68,18,2
662,31,12,5
663,3,3,4
664,54,15,6
665,100,20,7
666,11,16,9
667,76,5,7
668,62,6,2
669,45,7,5
670,55,7,1
671,22,16,1
672,43,16,6
673,2,10,1
674,2,13,10
675,9,19,9
676,88,7,3
677,87,14,9
678,55,4,10
679,44,9,9
680,89,11,3
681,11,6,10
682,41,4,4
683,30,1,2
684,68,11,9
685,0,17,6
686,22,13,7
687,59,7,5
688,81,3,5
689,37,7,1
690,77,3,5
691,55,18,6
692,2,20,9
693,4,19,2
694,34,1,10
695,99,18,8
696,58,19,10
697,31,5,9
698,18,18,10
699,13,7,2
700,62,13,4
701,75,2,1
702,89,18,4
703,21,8,5
704,63,3,1
705,37,5,1
706,23,7,3
707,37,1,9
708,81,8,10
709,52,4,3
710,89,8,8
711,57,9,6
712,2,10,6
713,11,16,1
714,30,9,3
715,100,3,8
716,57,20,9
717,0,9,4
718,1,1,6
719,83,13,5
720,89,5,7
721,89,7,7
722,92,11,3
723,56,19,3
724,68,19,7
725,87,5,6
726,32,20,6
727,56,11,8
728,87,7,9
729,62,5,2
730,23,1,8
731,42,14,2
732,72,3,8
733,76,5,4
734,31,14,10
735,1,17,6
736,44,12,9
737,94,9,6
738,98,5,3
739,67,1,5
740,100,7,5
741,95,8,6
742,12,7,3
743,37,17,1
744,36,13,7
745,27,12,9
746,98,12,6
747,3,8,5
748,77,17,3
749,67,5,9
750,95,8,6
751,97,13,8
752,40,13,2
753,17,5,4
754,81,6,5
755,3,9,5
756,93,13,10
757,48,18,9
758,91,8,4
759,15,11,9
760,3,19,8
761,58,2,8
762,67,10,1
763,72,13,7
764,97,10,9
765,27,10,5
766,75,14,8
767,83,20,2
768,84,13,9
769,58,20,3
770,98,14,5
771,17,7,10
